x,y,noisy_x,noisy_y,x_neuron,y_neuron,pattern_str,state_count,is_collision,pattern_idx
-70.76923076923077,76.92307692307693,-70.76923076923077,76.92307692307693,6,20,x6_y20,4,True,110
-70.76923076923077,83.0769230769231,-70.76923076923077,83.0769230769231,6,20,x6_y20,4,True,110
-64.61538461538461,76.92307692307693,-64.61538461538461,76.92307692307693,6,20,x6_y20,4,True,110
-64.61538461538461,83.0769230769231,-64.61538461538461,83.0769230769231,6,20,x6_y20,4,True,110
-70.76923076923077,89.23076923076925,-70.76923076923077,89.23076923076925,6,21,x6_y21,4,True,111
-70.76923076923077,95.38461538461539,-70.76923076923077,95.38461538461539,6,21,x6_y21,4,True,111
-64.61538461538461,89.23076923076925,-64.61538461538461,89.23076923076925,6,21,x6_y21,4,True,111
-64.61538461538461,95.38461538461539,-64.61538461538461,95.38461538461539,6,21,x6_y21,4,True,111
-70.76923076923077,101.53846153846155,-70.76923076923077,101.53846153846155,6,22,x6_y22,4,True,112
-70.76923076923077,107.69230769230771,-70.76923076923077,107.69230769230771,6,22,x6_y22,4,True,112
-64.61538461538461,101.53846153846155,-64.61538461538461,101.53846153846155,6,22,x6_y22,4,True,112
-64.61538461538461,107.69230769230771,-64.61538461538461,107.69230769230771,6,22,x6_y22,4,True,112
-70.76923076923077,113.84615384615387,-70.76923076923077,113.84615384615387,6,23,x6_y23,2,True,113
-64.61538461538461,113.84615384615387,-64.61538461538461,113.84615384615387,6,23,x6_y23,2,True,113
-70.76923076923077,120.0,-70.76923076923077,120.0,6,24,x6_y24,2,True,114
-64.61538461538461,120.0,-64.61538461538461,120.0,6,24,x6_y24,2,True,114
-58.46153846153846,-120.0,-58.46153846153846,-120.0,7,0,x7_y0,4,True,115
-58.46153846153846,-113.84615384615384,-58.46153846153846,-113.84615384615384,7,0,x7_y0,4,True,115
-52.30769230769231,-120.0,-52.30769230769231,-120.0,7,0,x7_y0,4,True,115
-52.30769230769231,-113.84615384615384,-52.30769230769231,-113.84615384615384,7,0,x7_y0,4,True,115
-58.46153846153846,-107.6923076923077,-58.46153846153846,-107.6923076923077,7,2,x7_y2,4,True,116
-58.46153846153846,-101.53846153846153,-58.46153846153846,-101.53846153846153,7,2,x7_y2,4,True,116
-52.30769230769231,-107.6923076923077,-52.30769230769231,-107.6923076923077,7,2,x7_y2,4,True,116
-52.30769230769231,-101.53846153846153,-52.30769230769231,-101.53846153846153,7,2,x7_y2,4,True,116
-58.46153846153846,-95.38461538461539,-58.46153846153846,-95.38461538461539,7,4,x7_y4,4,True,117
-58.46153846153846,-89.23076923076923,-58.46153846153846,-89.23076923076923,7,4,x7_y4,4,True,117
-52.30769230769231,-95.38461538461539,-52.30769230769231,-95.38461538461539,7,4,x7_y4,4,True,117
-52.30769230769231,-89.23076923076923,-52.30769230769231,-89.23076923076923,7,4,x7_y4,4,True,117
-58.46153846153846,-83.07692307692307,-58.46153846153846,-83.07692307692307,7,5,x7_y5,4,True,118
-58.46153846153846,-76.92307692307692,-58.46153846153846,-76.92307692307692,7,5,x7_y5,4,True,118
-52.30769230769231,-83.07692307692307,-52.30769230769231,-83.07692307692307,7,5,x7_y5,4,True,118
-52.30769230769231,-76.92307692307692,-52.30769230769231,-76.92307692307692,7,5,x7_y5,4,True,118
-58.46153846153846,-70.76923076923077,-58.46153846153846,-70.76923076923077,7,6,x7_y6,4,True,119
-58.46153846153846,-64.61538461538461,-58.46153846153846,-64.61538461538461,7,6,x7_y6,4,True,119
-52.30769230769231,-70.76923076923077,-52.30769230769231,-70.76923076923077,7,6,x7_y6,4,True,119
